,Unnamed: 0,henry_constant,filename,additional,water,units,ads_and_des,other
2657,2657,40.893025707318365,10.1021Jp1044139.Isotherm13,,,,,
2808,2808,40.63066476550613,10.1021Jp200321y.isotherm28,,,,,
2428,2428,40.415835166644676,10.1039C2cc35729a.Isotherm2,,,,,
2427,2427,40.367988381108,10.1039C2cc35729a.Isotherm1,,,,,
2187,2187,40.21864955396718,10.1039C4ee00143e.Isotherm41,,,,,
1873,1873,40.200987971091635,10.1039c5sc01796c.Isotherm8,,,,,
2067,2067,39.99533675914183,10.1021La2030473.isotherm11,,,,,
3113,3113,39.8182547647447,10.1002adfm.200600944.Isotherm53,,,,,
1213,1213,39.40916873939968,10.1039C1cc11832c.Isotherm2,,,,,
2514,2514,39.291787263164274,10.1016j.micromeso.2010.07.007.isotherm16,,,,,
2526,2526,38.93991228070513,10.1016j.supflu.2016.01.008.Isotherm4,,,,,
1961,1961,38.864052742617346,10.1021acs.jpcc.5b03700.Isotherm48,,,,,
1962,1962,38.864052742617346,10.1021acs.jpcc.5b03700.Isotherm47,,,,,
1071,1071,38.50055572046596,10.1021Jz3008485.Isotherm15,,,,,
1072,1072,38.46649112349039,10.1021Jz3008485.Isotherm14,,,,,
2711,2711,38.45389846564334,10.1021Ja401061m.isotherm4,,,,,
2279,2279,38.4446736313993,10.1021Ja2010863.Isotherm1,,,,,
2990,2990,38.215283012685475,10.1016j.micromeso.2013.06.023.Isotherm9,,,,,
1557,1557,38.11621545495606,10.1021Jp1044139.Isotherm14,,,,,
1899,1899,37.9727497935632,10.1021acs.langmuir.6b02814.Isotherm8,,,,,
3073,3073,37.657053638327106,10.1002chem.201103687.isotherm8,,,,,
1357,1357,37.412807561162964,10.1016j.jcis.2010.04.078.Isotherm2,,,,,
2929,2929,37.41141005672279,10.1021Cg3017563.isotherm8,,,,,
501,501,37.05538374036251,10.108001496395.2012.712600.isotherm6,,,,,
2200,2200,36.87593372562704,10.1039C4dt00307a.Isotherm9,,,,,
2838,2838,36.78481031072327,10.1021Jp1033273.Isotherm14,,,,,
1513,1513,36.494546903011155,10.1021ja1023282.isotherm3,,,,,
1070,1070,36.3408645347762,10.1021Jz3008485.Isotherm16,,,,,
2656,2656,36.21817145351394,10.1021Jp1044139.Isotherm21,,,,,
3072,3072,36.21296289941461,10.1002chem.201103687.isotherm12,,,,,
2741,2741,35.98872042203003,10.1038Nchem.1982.Isotherm5,,,,,
347,347,35.567566519809425,10.1002chem.201301806.isotherm13,,,,,
1022,1022,34.53325697116888,10.1016j.inoche.2014.06.003.Isotherm17,,,,,
553,553,34.259123864201214,10.1016j.ijhydene.2013.07.054.isotherm1,,,,,
1605,1605,34.235574679021504,10.1021je3013217.Isotherm9,,,,,
2710,2710,34.175367764256386,10.1021Ja401061m.isotherm5,,,,,
1801,1801,34.10452752281111,10.1021Jp3052938.Isotherm14,,,,,
1844,1844,33.78684564189244,10.1021La9020383.Isotherm13,,,,,
172,172,33.73226607845632,10.1016j.ijggc.2009.04.005.Isotherm1,,,,,
2985,2985,33.377576602388345,10.1016j.micromeso.2014.03.022.Isotherm23,,,,,
2174,2174,33.006451738728664,10.1021Jz3008485.Isotherm25,,,,,
2197,2197,32.69925822350704,10.1039c4dt03594a.Isotherm8,,,,,
1002,1002,32.69344592428428,10.1016j.seppur.2007.07.050.Isotherm1,,,,,
1671,1671,32.672382130649005,10.1021Jp101744k.isotherm21,,,,,
2044,2044,32.611135069810764,10.1021Jp3046356.Isotherm19,,,,,
3011,3011,32.529576429618785,10.1016j.micromeso.2013.06.023.Isotherm10,,,,,
1069,1069,32.44280652978807,10.1021Jz3008485.Isotherm17,,,,,
1182,1182,32.327320506905096,10.1021Jp074889i.Isotherm33,,,,,
1046,1046,31.86131752304837,10.3969j.issn.1001-4861.2013.00.200.isotherm8,,,,,
970,970,31.318118642243434,10.108008927020902988865.Isotherm1,,,,,
153,153,31.292368681879243,10.8888s0167-2991(08)63564-8.Isotherm1,,,,,
170,170,31.292368681879243,10.1016s0167-2991(08)63564-8.Isotherm1,,,,,
2039,2039,31.285690920152334,10.1021Jp311118x.isotherm2,,,,,
1332,1332,31.18545601368935,10.1002adfm.200500561.Isotherm4,,,,,
1358,1358,31.02880815231231,10.1016j.inoche.2014.06.003.Isotherm8,,,,,
2116,2116,30.75749501149793,10.1002anie.201105966.Isotherm4,,,,,
1068,1068,30.61288691771197,10.1021Jz3008485.Isotherm18,,,,,
2882,2882,30.481695185056907,10.1021jacs.5b00450.Isotherm11,,,,,
2202,2202,30.188795039912648,10.1039C4dt00307a.Isotherm11,,,,,
1269,1269,30.159076931160197,10.1021Jp203607s.isotherm22,,,,,
1448,1448,30.12186445736814,10.1016S1004-9541(07)60095-0.Isotherm5-1,,,,,
359,359,30.082757205414968,10.1039C2ee22769j.isotherm64,,,,,
1619,1619,29.82941253649453,10.1016j.fluid.2016.09.008.Isotherm14,,,,,
2271,2271,29.790370967533175,10.1021Jz3008485.Isotherm37,,,,,
1817,1817,29.644647169852238,10.1021La9020383.Isotherm14,,,,,
2672,2672,29.639907353020998,10.1039C0cc04689b.isotherm7,,,,,
3050,3050,29.553939202577148,10.1002cssc.201402206.Isotherm7,,,,,
887,887,29.54541523072821,10.1016j.micromeso.2010.07.007.isotherm22,,,,,
1512,1512,29.51397796361948,10.1021ja1023282.isotherm2,,,,,
2637,2637,29.22637066458784,10.1002chem.201100958.Isotherm23,,,,,
888,888,29.216696155222568,10.1016j.micromeso.2010.07.007.isotherm18,,,,,
2037,2037,28.884064948538555,10.1021Jp401923v.isotherm1,,,,,
1471,1471,28.531760450207248,10.1002aic.690470520.Isotherm4,,,,,
2810,2810,28.49803395992922,10.1021Jp200321y.isotherm1n,,,,,
1470,1470,28.203674861897635,10.1002aic.690470520.Isotherm9,,,,,
3112,3112,27.53750383313533,10.1002anie.201206724.isotherm1,,,,,
859,859,27.459890363749853,10.1021la800803w.Isotherm24,,,,,
2264,2264,27.457034301363827,10.1039C4cc00375f.Isotherm9,,,,,
1387,1387,27.40859205422502,10.1016j.micromeso.2013.02.025.Isotherm7,,,,,
2026,2026,27.129894559025328,10.1039C0ee00700e.Isotherm17,,,,,
2569,2569,27.116607700406647,10.1016j.micromeso.2012.05.021.Isotherm3,,,,,
1181,1181,26.853014706454267,10.1021Jp074889i.Isotherm39,,,,,
1556,1556,26.822728287325926,10.1021Jp1044139.Isotherm22,,,,,
1459,1459,26.70534261030111,10.1021Jp3046356.Isotherm34,,,,,
1180,1180,26.482068851856198,10.1021Jp074889i.Isotherm45,,,,,
2038,2038,26.384877798080396,10.1021Jp311118x.isotherm3,,,,,
1310,1310,26.36653051764864,10.1016j.micromeso.2010.07.007.isotherm17,,,,,
1939,1939,25.910640224450717,10.1016j.cej.2015.02.088.Isotherm13,,,,,
2203,2203,25.874539371443678,10.1039C4dt00307a.Isotherm10,,,,,
1722,1722,25.84971973231818,10.1016j.memsci.2006.12.025.Isotherm2,,,,,
3082,3082,25.658642953927146,10.1002chem.201103687.isotherm19,,,,,
694,694,25.6212814707888,10.108008927020902988865.Isotherm2,,,,,
838,838,25.52879994554652,10.1039B807470d.isotherm1,,,,,
1207,1207,25.468851197630702,10.1126science.1083440.Isotherm2,,,,,
2640,2640,25.199536497152465,10.1002chem.201100958.Isotherm11,,,,,
1636,1636,25.04626409356911,10.1021La102359q.Isotherm23,,,,,
84,84,24.94818908007816,10.1021Jp074889i.Isotherm75,,,,,
1861,1861,24.937617257769176,10.1007s11224-012-0120-1.isotherm10,,,,,
1498,1498,24.87933702443925,10.1016j.inoche.2014.06.003.Isotherm14,,,,,
1519,1519,24.59057214146308,10.1021Ja902740r.Isotherm5,,,,,
1000,1000,24.347966361295732,10.1021Ie500310c.Isotherm35,,,,,
3108,3108,24.29204752367288,10.1002anie.201206724.isotherm7,,,,,
1802,1802,24.183688522268305,10.1021Jp3052938.Isotherm13,,,,,
2709,2709,23.851668715166937,10.1021Ja401061m.isotherm6,,,,,
846,846,23.828113646284162,10.1007s11224-012-0120-1.isotherm29,,,,,
2205,2205,23.71739508799305,10.1039C4dt00307a.Isotherm12,,,,,
2512,2512,23.673493297660727,10.1016j.micromeso.2010.07.007.isotherm20,,,,,
1635,1635,23.40913972917664,10.1021La102359q.Isotherm24,,,,,
1793,1793,23.32015672617637,10.1007s10450-012-9438-7.isotherm10,,,,,
75,75,23.289554899607523,10.1021Jp911477a.Isotherm13-3,,,,,
1348,1348,23.212017629678613,10.1016j.seppur.2012.04.032.Isotherm5,,,,,
1828,1828,22.945517377666363,10.1021Jp907241y.Isotherm6,,,,,
693,693,22.6016643597638,10.108008927020902988865.Isotherm2-1,,,,,
1855,1855,22.464911242355747,10.1021Jp711326g.Isotherm6,,,,,
1829,1829,22.280074079470392,10.1021Jp711326g.Isotherm7,,,,,
1858,1858,22.273977815296316,10.1007s11224-012-0120-1.isotherm5,,,,,
83,83,22.147085730486232,10.1021Jp074889i.Isotherm81,,,,,
1186,1186,22.08675550506096,10.1021Es9032309.Isotherm6,,,,,
1683,1683,22.05588278574337,10.1021la034766z.Isotherm45,,,,,
1733,1733,21.59618930701188,10.1021La034766z.Isotherm2-1,,,,,
2272,2272,21.478584589007077,10.1021acs.jpcc.5b03700.Isotherm50,,,,,
2273,2273,21.478584589007077,10.1021acs.jpcc.5b03700.Isotherm49,,,,,
891,891,21.431151420523992,10.1016j.ijhydene.2012.04.105.Isotherm4,,,,,
1856,1856,21.42705677541028,10.1016j.micromeso.2010.04.015.isotherm50,,,,,
100,100,21.423263089771353,10.1021La401471g.isotherm13,,,,,
1995,1995,21.413092016392998,10.1039C4ra12432d.Isotherm16,,,,,
1833,1833,21.405994493571967,10.1007s11224-012-0120-1.isotherm6,,,,,
3007,3007,21.325310801445507,10.1016j.micromeso.2013.06.023.Isotherm27,,,,,
2260,2260,21.090455620944372,10.1039C4cc00375f.Isotherm8,,,,,
905,905,20.891915656597927,10.1016j.micromeso.2012.06.004.isotherm3,,,,,
82,82,20.851641360743734,10.1021Jp074889i.Isotherm87,,,,,
1798,1798,20.78912202829348,10.1002ejic.201001156.isotherm2,,,,,
2786,2786,20.766693154984257,10.1016j.cej.2015.04.087.Isotherm16,,,,,
1830,1830,20.47440453856867,10.1016j.micromeso.2010.04.015.isotherm51,,,,,
1737,1737,20.292694538144104,10.1021Jp992521i.Isotherm1,,,,,
2285,2285,20.209679948584387,10.1016j.micromeso.2014.02.028.Isotherm5,,,,,
2836,2836,19.75662982947593,10.1021Jp1033273.Isotherm22,,,,,
969,969,19.62017307001182,10.108008927020902988865.Isotherm1-1,,,,,
101,101,19.50453866988576,10.1016j.procs.2011.04.128.Isotherm2,,,,,
1309,1309,19.466969040781308,10.1016j.micromeso.2010.07.007.isotherm21,,,,,
1699,1699,19.394750212602762,10.1021La034766z.Isotherm1,,,,,
118,118,19.366100340664307,10.1021Jp103785u.isotherm1f,,,,,
1996,1996,19.3429270517111,10.1039C4ra12432d.Isotherm17,,,,,
119,119,19.27407206782918,10.1021Jp103785u.isotherm1e,,,,,
2515,2515,19.26325141875868,10.1016j.micromeso.2010.07.007.isotherm10,,,,,
2698,2698,19.166503483006124,10.1039B814498b.Isotherm2,,,,,
1412,1412,19.1396806807407,10.1039C4cc04945d.Isotherm1,,,,,
2087,2087,18.977071260345365,10.1016j.micromeso.2014.02.028.Isotherm4,,,,,
132,132,18.547683590296103,10.1016j.micromeso.2008.11.020.Isotherm3,,,,,
103,103,18.470630254883467,10.1002cite.201300078.isotherm12,,,,,
1877,1877,18.31791033783543,10.1039c5sc00614g.Isotherm1,,,,,
1036,1036,18.312803597329854,10.1021Jp203607s.isotherm13,,,,,
2242,2242,18.279943489156302,10.1039C4cs00078a.Isotherm10,,,,,
2785,2785,18.264000257556084,10.1016j.cej.2015.04.087.Isotherm17,,,,,
152,152,18.192581712936192,10.1016j.inoche.2014.06.003.Isotherm11,,,,,
2722,2722,18.18753539601507,10.1038nchem.2114.Isotherm7,,,,,
1790,1790,18.13224462269245,10.1007s10450-012-9438-7.isotherm6,,,,,
2667,2667,17.976700298182713,10.1002chem.201201340.isotherm11,,,,,
2665,2665,17.903105265855313,10.1002chem.201201340.isotherm8,,,,,
1452,1452,17.823304042144255,10.1016S1004-9541(07)60095-0.Isotherm24,,,,,
263,263,17.726503389973953,10.1039c3cc46492j.isotherm1,,,,,
2032,2032,17.655942493302746,10.1021Jz3008485.Isotherm43,,,,,
1680,1680,17.631998132765556,10.108008927020902865923.isotherm14,,,,,
54,54,17.271704109022664,10.1002Aic.14467.Isotherm18,,,,,
1777,1777,17.228482556816285,10.1021La101377u.Isotherm4-1,,,,,
2913,2913,17.179619894033756,10.1021Ic4020256.Isotherm8,,,,,
3107,3107,17.167882551014845,10.1002anie.201206724.isotherm6,,,,,
1929,1929,17.095718467224177,10.1039c4ta07115h.Isotherm15,,,,,
3061,3061,17.023602402436556,10.1002cplu.201600259.Isotherm4,,,,,
2570,2570,16.952297535722785,10.1016j.cattod.2011.08.019.isotherm2c,,,,,
242,242,16.761904763161564,10.1007s1045001294231.Isotherm18,,,,,
936,936,16.540329040394546,10.1007s10450-010-9305-3.Isotherm13,,,,,
3016,3016,16.005577732028115,10.1016j.micromeso.2013.06.023.Isotherm18,,,,,
2251,2251,15.984559290997273,10.1021Ja902740r.Isotherm1,,,,,
907,907,15.77747286261015,10.1021Ja066098k.Isotherm5,,,,,
2537,2537,15.736522614515955,10.1016j.egypro.2013.05.098.Isotherm5,,,,,
1549,1549,15.606276576220054,10.1021Es9032309.Isotherm11,,,,,
2777,2777,15.552720382295758,10.1007s10450-010-9305-3.Isotherm15,,,,,
1751,1751,15.322909194990004,10.1021Jp3052938.Isotherm3,,,,,
1288,1288,15.273054806367151,10.1021Ja9036302.Isotherm4,,,,,
2721,2721,15.272588746447079,10.1038ncomms8328.Isotherm8,,,,,
3002,3002,15.238346074227,10.1016j.micromeso.2013.06.023.Isotherm20,,,,,
601,601,15.20095612659381,10.1021La3009514.Isotherm1,,,,,
2173,2173,15.132768165272367,10.1021Jz3008485.Isotherm26,,,,,
1347,1347,15.017323275690106,10.1016j.seppur.2012.04.032.Isotherm6,,,,,
1365,1365,15.013164946972712,10.1039C4cc04945d.Isotherm12,,,,,
2538,2538,14.942039877225072,10.1016j.egypro.2009.01.166.Isotherm8,,,,,
1789,1789,14.838557980046776,10.1007s10450-012-9438-7.isotherm7,,,,,
159,159,14.794500003007155,10.1021Jp3046356.Isotherm23,,,,,
871,871,14.770065840354052,10.1021Jp1058963.isotherm41,,,,,
1679,1679,14.762956147626515,10.108008927020902865923.isotherm15,,,,,
516,516,14.740670324942188,10.1021La4027128.isotherm4,,,,,
2265,2265,14.67942750801816,10.1039C4cc00375f.Isotherm10,,,,,
1579,1579,14.59635874248058,10.1016j.ijhydene.2010.09.057.Isotherm16,,,,,
97,97,14.540576458183171,10.1021La401471g.isotherm12,,,,,
1045,1045,14.129263712200933,10.3969j.issn.1001-4861.2013.00.200.isotherm6,,,,,
2095,2095,14.02229596857021,10.1039C4ee00143e.Isotherm45,,,,,
2675,2675,13.939268285345285,10.1039C0cc04689b.isotherm10,,,,,
870,870,13.830650671031284,10.1021Jp1058963.isotherm42,,,,,
655,655,13.782278268991508,10.1021Cm900049x.Isotherm1,,,,,
2088,2088,13.746100212662695,10.1021La2030473.isotherm2,,,,,
1473,1473,13.696660675574071,10.1002aic.690470520.Isotherm10,,,,,
2927,2927,13.658806242939427,10.1021Cg3017563.isotherm4,,,,,
3009,3009,13.655749650666133,10.1016j.micromeso.2013.06.023.Isotherm19,,,,,
2417,2417,13.617039004044035,10.1021Co300128w.isotherm11,,,,,
1460,1460,13.602678029460106,10.1021Jp3046356.Isotherm25,,,,,
1318,1318,13.569348554927016,10.1016j.ijhydene.2010.04.066.Isotherm12,,,,,
3101,3101,13.4498902888014,10.1002anie.201506345.Isotherm17,,,,,
1472,1472,13.417157748732665,10.1002aic.690470520.Isotherm5,,,,,
1942,1942,13.341696796740875,10.1021La100601a.isotherm2,,,,,
2167,2167,13.321313714958091,10.1039C4ee00143e.Isotherm42,,,,,
595,595,13.240490368128604,10.1021La3009514.Isotherm9,,,,,
99,99,13.21084759777081,10.1002cite.201300078.isotherm17,,,,,
1734,1734,13.073426949063599,10.1021La034766z.Isotherm2,,,,,
1616,1616,13.072187222717929,10.1021je3013217.Isotherm8,,,,,
1944,1944,12.999363252691447,10.1021acs.jpcc.5b02861.Isotherm5,,,,,
995,995,12.747463256117074,10.1016j.colsurfa.2014.09.017.Isotherm29,,,,,
514,514,12.680277612908915,10.1039C4ra07030e.Isotherm5,,,,,
102,102,12.40772649202934,10.1002cite.201300078.isotherm13,,,,,
2606,2606,12.251725111380994,10.1002chem.201502893.Isotherm11,,,,,
2006,2006,12.14901284881649,10.1021La1045207.Isotherm8,,,,,
2889,2889,12.037381467855306,10.1016j.jssc.2014.03.005.Isotherm3,,,,,
2110,2110,11.966582097537087,10.1021La302537d.Isotherm1,,,,,
165,165,11.908249926309592,10.1021Je800900a.Isotherm16,,,,,
1293,1293,11.839348902981165,10.1021Cm803502y.Isotherm5,,,,,
984,984,11.766363796377275,10.1039B807470d.isotherm2,,,,,
2198,2198,11.762306317346528,10.1039c4dt03594a.Isotherm9,,,,,
3077,3077,11.728928910738594,10.1002chem.201103687.isotherm25,,,,,
2623,2623,11.650391845776609,10.1002chem.201100958.Isotherm25,,,,,
2041,2041,11.646669673733273,10.1021Jp310517r.Isotherm1,,,,,
2270,2270,11.510564345902386,10.1021Jz3008485.Isotherm38,,,,,
2695,2695,11.482973059081528,10.1039B814498b.Isotherm3,,,,,
2735,2735,11.461529629292775,10.1038nchem.2114.Isotherm6,,,,,
2171,2171,11.354362008640493,10.1021Jz3008485.Isotherm28,,,,,
1153,1153,11.256356675057432,10.1021Es9032309.Isotherm12,,,,,
2172,2172,11.255941037383938,10.1021Jz3008485.Isotherm27,,,,,
1987,1987,11.208848627159671,10.1039C4ra12432d.Isotherm22,,,,,
2001,2001,11.171339644144044,10.1039C3cp55416c.Isotherm8,,,,,
2995,2995,11.106776947188814,10.1016j.micromeso.2013.06.023.Isotherm17,,,,,
1720,1720,11.060230202645245,10.1016j.micromeso.2009.03.045.Isotherm13,,,,,
2262,2262,11.032996154846117,10.1039C4cc00375f.Isotherm12,,,,,
1296,1296,11.029781287211826,10.1016j.seppur.2008.10.022.Isotherm3,,,,,
2030,2030,11.01359006041365,10.1021Jz3008485.Isotherm45,,,,,
3051,3051,10.990618024948573,10.1002cssc.201402206.Isotherm8,,,,,
2176,2176,10.874024466120996,10.1021Ct500094w.Isotherm3,,,,,
1787,1787,10.87150934669331,10.1007s10450-012-9438-7.isotherm9,,,,,
674,674,10.79530194274042,10.1007s1045001596846.Isotherm8,,,,,
2204,2204,10.784098927814636,10.1039C4dt00307a.Isotherm13,,,,,
2747,2747,10.737024453620444,10.1016j.apsusc.2009.12.090.isotherm4,,,,,
3096,3096,10.667805853021195,10.1002anie.201506345.Isotherm21,,,,,
2834,2834,10.629323553574764,10.1021Jp1033273.Isotherm9,,,,,
1366,1366,10.59801121203236,10.1039C4cc04945d.Isotherm11,,,,,
2527,2527,10.556485653378894,10.1016j.micromeso.2008.04.033.isotherm5,,,,,
2105,2105,10.556458606038666,10.1021La302537d.Isotherm19,,,,,
1795,1795,10.512423958776113,10.1039C2ce06608d.isotherm1,,,,,
2662,2662,10.422793624964694,10.1021Jp711326g.Isotherm10,,,,,
2571,2571,10.406223642703932,10.1016j.cej.2015.04.087.Isotherm6,,,,,
2629,2629,10.305435498416,10.1002chem.201100958.Isotherm5,,,,,
2419,2419,10.219121754327698,10.1007s11164-014-1850-z.Isotherm6,,,,,
1943,1943,10.21288649146402,10.1021La100601a.isotherm10,,,,,
2531,2531,10.20021351710285,10.1016j.micromeso.2004.07.035.isotherm1,,,,,
2000,2000,10.183466059852721,10.1039C3cp55416c.Isotherm9,,,,,
2914,2914,10.166374957400619,10.1021Ic4020256.Isotherm9,,,,,
2029,2029,10.126224917384253,10.1021Jz3008485.Isotherm46,,,,,
906,906,10.083520612227426,10.151717425247.2013.741583.Isotherm2,,,,,
2103,2103,9.92032690296093,10.1021La302537d.Isotherm20,,,,,
2897,2897,9.828132091147085,10.1021Ja203291n.Isotherm3,,,,,
2109,2109,9.802095373711182,10.1021La302537d.Isotherm11,,,,,
2832,2832,9.766294690259588,10.1021Jp1033273.Isotherm13,,,,,
3028,3028,9.6533292960396,10.1016j.egypro.2011.01.090.Isotherm8,,,,,
2733,2733,9.642461567469807,10.1038ncomms8328.Isotherm10,,,,,
2290,2290,9.591461661051603,10.1039C3sc52348a.Isotherm3,,,,,
2663,2663,9.586853652605397,10.1016j.micromeso.2010.04.015.isotherm53,,,,,
2269,2269,9.525502930732538,10.1021Jz3008485.Isotherm39,,,,,
1988,1988,9.500136442193993,10.1039C4ra12432d.Isotherm23,,,,,
2879,2879,9.496470274130786,10.1021jacs.5b00450.Isotherm9,,,,,
1571,1571,9.47964169501252,10.1021Jp9106525.Isotherm3,,,,,
999,999,9.449222614728711,10.1021Ie500310c.Isotherm39,,,,,
664,664,9.318007197440474,10.1016j.powtec.2014.08.062.Isotherm6,,,,,
2199,2199,9.316865217567132,10.1039c4dt03594a.Isotherm10,,,,,
2009,2009,9.256034181403708,10.1002ceat.201400741.Isotherm2,,,,,
989,989,9.170863357796762,10.1021Ie500310c.Isotherm5,,,,,
2628,2628,9.13266255572347,10.1021Ja1089765.Isotherm2,,,,,
1231,1231,9.109031927444182,10.1021Jp901988e.isotherm14,,,,,
2289,2289,9.095620149823773,10.1039c3sc52348a.Isotherm30,,,,,
98,98,8.946697019802716,10.1002cite.201300078.isotherm18,,,,,
341,341,8.932544170376469,10.1002chem.201301806.isotherm8,,,,,
2660,2660,8.878477728657753,10.1021Nl903068a.Isotherm10,,,,,
2004,2004,8.874733125012883,10.1039C3cp55416c.Isotherm10,,,,,
2252,2252,8.853423219574811,10.1039C4cc00375f.Isotherm2,,,,,
2104,2104,8.810668509206804,10.1021La302537d.Isotherm2,,,,,
2097,2097,8.775092847845936,10.1021La302537d.Isotherm7,,,,,
1945,1945,8.770305946649799,10.1021acs.jpcc.5b02861.Isotherm23,,,,,
2263,2263,8.759618906101663,10.1039C4cc00375f.Isotherm11,,,,,
1577,1577,8.744175753914135,10.1016j.micromeso.2010.07.007.isotherm11,,,,,
2208,2208,8.742329253137946,10.1039C4dt00307a.Isotherm15,,,,,
1417,1417,8.73485831846153,10.1021Am303089g.Isotherm4,,,,,
2746,2746,8.702884541025442,10.1016S0008-6223(03)00304-X.Isotherm1,,,,,
1276,1276,8.67795125032764,10.1021Jp074889i.Isotherm9,,,,,
861,861,8.631679292659774,10.1021Jp207411b.isotherm7,,,,,
1952,1952,8.625878847444064,10.1016j.cej.2012.04.071.isotherm8,,,,,
2111,2111,8.565901090738198,10.1021jp3046356.Isotherm61,,,,,
573,573,8.550438245475588,10.1021La4027128.isotherm16,,,,,
1420,1420,8.54767325782205,10.1021Am303089g.Isotherm7,,,,,
2342,2342,8.497324269408532,10.1039C3ee24506c.isotherm36,,,,,
2209,2209,8.48094468270709,10.1039C4dt00307a.Isotherm14,,,,,
1648,1648,8.409875535004518,10.108008927022.2011.602974.Isotherm1,,,,,
2555,2555,8.36455472543005,10.1021Je0498917.isotherm1,,,,,
812,812,8.237542733189587,10.1002adma.201403827.Isotherm10,,,,,
1225,1225,8.205638896959805,10.1021Jp904872f.Isotherm6-1,,,,,
1232,1232,8.183426498303865,10.1021Jp901988e.isotherm13,,,,,
3110,3110,8.164596369502094,10.1002anie.201206724.isotherm3,,,,,
2831,2831,8.132512117558779,10.1021Jp1033273.Isotherm19,,,,,
2186,2186,8.11598714639381,10.1016j.micromeso.2014.02.028.Isotherm6,,,,,
684,684,8.083693387477288,10.1007s10450-010-9305-3.Isotherm4,,,,,
348,348,8.017727665731067,10.1002chem.201301806.isotherm12,,,,,
2234,2234,8.014475219652915,10.1039C2cp23839j.Isotherm76,,,,,
1989,1989,8.009594824277654,10.1039C4ra12432d.Isotherm24,,,,,
1039,1039,8.008954230563088,10.1021Jp203607s.isotherm10,,,,,
1227,1227,8.005460542242771,10.1021Jp904872f.Isotherm5,,,,,
1141,1141,8.001953824815322,10.1007s00894-010-0720-x.Isotherm3,,,,,
261,261,7.987742855834148,10.5012bkcs.2014.35.2.377.isotherm7,,,,,
675,675,7.98079113379729,10.1007s1045001596846.Isotherm6,,,,,
2439,2439,7.939710211506363,10.1039C2cc31792c.Isotherm10,,,,,
1998,1998,7.898651122097666,10.1039C4ra12432d.Isotherm19,,,,,
1999,1999,7.856932509333039,10.1039C4ra07030e.Isotherm3,,,,,
1048,1048,7.839381338185768,10.1021Jp055908w.Iostherm3,,,,,
600,600,7.807299270134026,10.1021La3009514.Isotherm2,,,,,
1326,1326,7.764586606036867,10.1002cphc.201300225.Isotherm3,,,,,
1367,1367,7.687838598366213,10.1039C4cc04945d.Isotherm10,,,,,
1267,1267,7.671937526793253,10.1021Jp203607s.isotherm24,,,,,
1208,1208,7.665358438910485,10.108008927022.2011.561432.Isotherm7,,,,,
1594,1594,7.652280762510442,10.1016j.inoche.2014.06.003.Isotherm12,,,,,
2682,2682,7.650609993863203,10.1039C0cc02496a.Isotherm5,,,,,
2979,2979,7.605323600601268,10.1016j.micromeso.2014.03.022.Isotherm32,,,,,
2253,2253,7.574201518913157,10.1039C4cc00375f.Isotherm1,,,,,
1140,1140,7.566687923459733,10.1007s00894-010-0720-x.Isotherm4,,,,,
1228,1228,7.514824662708754,10.1021Jp904872f.Isotherm4,,,,,
1311,1311,7.504341444931997,10.1016j.micromeso.2010.07.007.isotherm12,,,,,
2670,2670,7.463184404320628,10.1039C0cc04689b.isotherm4,,,,,
1634,1634,7.449887991835222,10.1021La102359q.Isotherm25,,,,,
1645,1645,7.4118563199532925,10.108008927022.2011.602974.Isotherm26,,,,,
1958,1958,7.369234355932015,10.1021Jz3008485.Isotherm32,,,,,
2430,2430,7.360660702448312,10.1039C2cc35729a.Isotherm5,,,,,
654,654,7.357397221339864,10.1021Cm900049x.Isotherm2,,,,,
2343,2343,7.345927289932233,10.1039C3ee24506c.isotherm35,,,,,
209,209,7.293544942580854,10.1021Ie200652e.isotherm10,,,,,
200,200,7.293544942580854,10.8888Ie200652e.isotherm10,,,,,
2418,2418,7.289447399657514,10.1007s11164-014-1850-z.Isotherm7,,,,,
1482,1482,7.270897406285764,10.1021Jz3008485.Isotherm55,,,,,
1516,1516,7.219738742633058,10.1021Ja902740r.Isotherm7,,,,,
208,208,7.129455646761013,10.1021Ie200652e.isotherm11,,,,,
1305,1305,7.129055802767466,10.1016j.micromeso.2012.09.002.Isotherm5-1,,,,,
2008,2008,7.119177802192224,10.1016j.ces.2014.10.028.Isotherm4,,,,,
1633,1633,7.115595180150175,10.1021La102359q.Isotherm26,,,,,
1306,1306,7.099699770170767,10.1016j.micromeso.2012.09.002.Isotherm5,,,,,
2900,2900,7.080315243947745,10.1021Ja203291n.Isotherm8,,,,,
1963,1963,7.035257081918853,10.1016j.ces.2014.07.008.Isotherm1,,,,,
1779,1779,7.009863691132425,10.1016j.ijhydene.2011.03.109.Isotherm13,,,,,
2713,2713,6.9760458198638915,10.1038Nchem.1457.Isotherm12,,,,,
1304,1304,6.944791908019615,10.1016j.micromeso.2012.09.002.Isotherm5-2,,,,,
1328,1328,6.933695448917817,10.1002cphc.201300225.Isotherm1,,,,,
1584,1584,6.893217850268919,10.1016j.ijhydene.2008.09.053.Isotherm10,,,,,
1580,1580,6.893217850268919,10.1016j.ijhydene.2008.09.053.Isotherm9,,,,,
677,677,6.86456582804859,10.1007s1045001596846.Isotherm21,,,,,
676,676,6.86456582804859,10.1007s1045001596846.Isotherm22,,,,,
